"","Županija","County.of","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"1","Republika Hrvatska","Republic of Croatia",40721.0615653295,45174.5262671715,49142.3713553612,53972.757972558,58230.2994126641,62665.0217258941,68267.1944317095,74734.1607454387,80652.8784951848,76855.792180131,76353.2690603168,77654.2496537538,77407,77465,77456.2176973761
"4","Grad Zagreb","City of Zagreb",68144.204304581,76148.7649912168,81730.1058610325,91772.9556833664,99987.9971482653,110725.791978028,120933.945753239,130628.364305179,141756.047337642,134817.81804603,139975.811838936,140578.571152635,139119,137321,136640.439547912
"5","Zagrebaèka","Zagreb",32493.723545798,32728.5467844315,39605.4820953322,41832.5317928868,45412.0102899659,50353.5042946778,51431.2953924322,57889.8800248462,61926.687168838,60618.0852431167,56502.5002309913,58731.2702540016,58567,58930,60229.1811936074
"6","Krapinsko-zagorska","Krapina-Zagorje",30679.8848217977,35507.3601924491,36738.7526396127,38952.4314592456,39922.2341111806,44437.4642938454,46396.5702441828,51689.0344075524,52606.3839505062,47786.0076546619,44987.3191492207,46651.5736113936,46956,48321,49906.0022685198
"7","Varaždinska","Varaždin",37181.4945139694,41660.2288751254,47173.8562728436,49688.4054886738,48933.0487920785,51229.475049627,55447.8952787368,60140.324098102,67194.5504553216,64703.5635060194,60751.0439547082,61958.6269426036,62396,63734,64457.8852847181
"8","Koprivnièko-križevaèka","Koprivnica-Križevci",46231.9584382212,49338.0465885559,52913.4847548161,55322.4104982869,55088.3917120435,56063.6519438587,65758.322917327,69038.977687812,68593.0913786197,71640.0049169714,66365.4669203839,69451.2390279029,68831,66404,65342.3687285103
"9","Meðimurska","Meðimurje",33278.8425524659,37415.2111873681,42062.4051985962,43621.2144259121,45535.4525861454,48248.5669183268,54474.983944207,57956.2646175543,66254.6438486097,63435.7439883967,60862.4527074334,62809.1793203217,63415,64231,66271.132186691
"10","Bjelovarsko-bilogorska","Bjelovar-Bilogora",30191.295924037,33484.9597661897,37260.6185330933,38752.2189385418,40895.568776493,41676.43356307,47865.3346514802,48716.2442975404,57212.41018373,56138.4327027501,51431.5998261977,52347.3052871347,51713,51785,53502.1944741833
"11","Virovitièko-podravska","Virovitica-Podravina",29633.4798888662,33658.9366291976,36075.7432057917,38585.1440343149,39395.9146135956,40076.1284673043,46474.552328629,50125.5575381658,51845.9261731782,47160.7898263011,45023.6513702357,47048.8868865179,46599,45764,43144.5092018446
"12","Požeško-slavonska","Požega-Slavonia",29296.6600544435,32309.4768299956,34243.5069712102,38621.9855287944,41053.1623723696,42288.0574597528,43406.109794519,46300.4138115585,50022.8299907431,46788.2183737,46661.5750141082,46706.4241061244,45866,46214,44458.0952661605
"13","Brodsko-posavska","Slavonski Brod-Posavina",24686.9847536845,28877.0417967685,31188.3163746948,33091.1665219092,35760.7711909576,35358.2116393318,38743.0493792124,41996.978559358,46663.6199045836,43768.1937297026,42641.9505049096,43851.5428016253,43999,44366,43191.1935543627
"14","Osjeèko-baranjska","Osijek-Baranja",31665.8591686936,34885.5797155739,39193.04504384,40765.2340672362,44613.0017457328,48633.2021842496,53307.6751644623,62087.8250871095,66902.5927196553,63401.5559850218,60078.8627205981,61857.1971116224,60835,61503,61379.6576660796
"15","Vukovarsko-srijemska","Vukovar-Sirmium",23652.7607931482,27451.792722576,30180.0995080433,33110.1627111195,34766.089753649,37411.8682624562,43322.5465655404,44979.6398954694,50264.1056606599,47476.8534886632,44612.7303306465,46208.0155025607,45077,45629,44993.359844179
"16","Karlovaèka","Karlovac",31729.7768932315,38443.5989443831,42014.4050979725,41677.8769552831,42448.3496033975,45434.0230357778,51292.7115628641,57550.5310813919,60598.1488972946,55872.1787667316,54928.4195821356,57579.6731292004,57288,58792,58213.0092196164
"17","Sisaèko-moslavaèka","Sisak-Moslavina",37658.1874032248,36615.4940915182,37806.6252703303,39531.7560890098,41092.9829434383,44717.0916990144,51605.8569101024,50176.4147070426,57707.8629379647,58015.8337215033,58864.8151791475,61463.3527141846,61250,59390,56529.1924443071
"20","Primorsko-goranska","Primorje-Gorski kotar",51952.6893940747,53168.168144053,55684.8671324354,63791.5023191243,67132.9497946252,75053.485519453,80706.8989112055,86064.6496345974,97244.7754624633,91327.5302842309,91185.6463975627,93732.040653587,98556,97924,95743.4524326575
"21","Lièko-senjska","Lika-Senj",33649.8499544288,34048.8610856487,41744.4654460342,52986.7029073172,71384.2276432997,55638.1433852192,58341.6110213731,57513.1550884309,67601.0530831532,62891.5617577966,60057.3333123719,59971.5455387203,58362,59384,59680.217984813
"22","Zadarska","Zadar",30099.1326222226,35743.3372545624,39453.7804052288,46985.9163777806,49410.5381414503,53526.781779708,55440.4710634838,64035.9041408937,70232.9117863333,64632.0090542314,61644.2562897008,61601.9937789337,61411,61899,62539.6909225732
"23","Šibensko-kninska","Šibenik-Knin",29020.5614250612,30987.4349610866,34531.5418818321,39987.9594533225,44699.5509989606,50143.7995484895,50537.9782649664,59863.5327510682,60711.4045767836,53823.8409925688,57185.1712802478,58943.8804825034,59152,60975,61560.9066330404
"24","Splitsko-dalmatinska","Split-Dalmatia",32119.8208344953,36584.5418785615,39117.8454308483,43103.4626985187,48680.5894825156,50404.5135614017,55480.0333198296,63711.6476141136,65539.5336908342,61365.202527042,60768.6393190687,60434.4300261921,59200,59444,59572.863031547
