"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002.",4451,306,47,228,98,81,33,73,441,71,30,99,82,197,233,181,466,315,351,119,39,961
"2003.",4695,210,59,156,73,103,41,107,584,94,36,160,77,184,152,153,236,401,439,140,51,1239
"2004.",4685,189,48,105,52,127,65,76,552,141,73,202,103,261,137,152,202,423,344,231,23,1179
"2005.",5158,500,53,73,60,274,55,65,587,102,55,54,76,305,142,173,138,415,477,186,22,1346
"2006.",6013,264,40,64,157,87,43,52,810,79,55,88,74,215,257,335,127,582,405,173,39,2067
"2007.",7242,228,32,62,61,372,131,97,891,79,40,43,70,216,299,272,125,680,476,199,43,2826
"2008.",6859,247,46,92,101,160,48,99,755,301,57,66,106,240,358,121,96,697,413,150,39,2667
"2009.",5012,166,74,100,51,157,27,108,598,197,37,36,110,214,193,68,186,561,345,88,62,1634
"2010.",4017,226,77,100,36,172,43,100,426,67,55,33,97,220,171,105,123,334,308,146,59,1119
"2011.",2920,136,61,77,26,76,72,34,415,123,33,49,81,208,103,94,116,215,217,150,25,609
"2012.",2795,257,32,76,31,109,27,49,387,76,31,22,51,241,98,99,78,244,183,125,19,560
"2013.",2626,135,19,82,65,187,25,25,420,46,14,9,81,171,92,126,126,305,202,116,29,351
"2014.",1871,77,17,45,57,126,36,53,281,77,10,30,37,163,130,63,46,185,148,57,52,181
"2015.",1995,105,37,16,31,38,59,27,186,96,4,16,19,216,59,97,104,142,112,72,25,534
