"","Primorsko-goranska","Zadarska","Šibensko-kninska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Ukupno"
"2005.",21,21,11,11,14,6,84
"2006.",29,24,11,11,14,6,95
"2007.",30,23,11,11,14,5,94
"2008.",32,24,11,11,14,5,97
"2009.",32,24,11,13,14,4,98
"2010.",30,24,11,13,15,5,98
"2011.",30,21,13,13,15,6,98
"2012.",29,19,13,16,15,6,98
"2013.",32,23,14,17,14,6,106
"2014.",30,26,15,21,14,6,112
"2015.",27,36,17,20,14,7,121
